index,First Vector,Second Vector,Label
931,7.7834167,66.983246,4
937,3.5702372,71.159584,4
939,1.6526036,61.365322,4
940,9.210691,74.66031,4
949,-46.028095,-24.579891,2
950,-54.140686,-26.134377,2
960,-56.375134,-29.110004,2
1001,-12.635709,-43.52443,9
1002,-20.458132,-53.872368,9
1006,-14.965961,-64.98849,9
1020,-13.286706,-68.17702,9
1026,7.660641,-64.313385,9
1027,5.4266086,-55.133583,9
1028,10.734532,-58.015648,9
1029,5.347611,-52.42906,9
1032,-0.81990445,-45.98739,9
1034,5.5000186,-55.568123,9
1035,1.0218998,-46.76651,9
1038,5.2906313,-55.277046,9
1042,6.1223235,-65.86588,9
1043,7.562571,-61.07978,9
1047,9.002293,-58.788254,9
1048,1.1889027,-47.310978,9
1050,10.236021,-65.44828,9
1061,-1.4879314,-58.00823,9
1062,-1.305541,-57.913105,9
1073,-8.508922,-64.69444,9
1093,-8.753004,-63.504444,9
1096,-6.6775575,-54.814564,9
1098,-2.7997174,-51.632286,9
1099,-1.0751389,-56.956196,9
1111,-6.1434584,-59.04177,9
1115,-3.4744196,-52.379574,9
1116,-4.2905197,-50.855537,9
1117,-5.0337963,-50.794125,9
1119,-4.457238,-57.25459,9
1120,-2.7832708,-51.671074,9
1121,-6.0698657,-59.083603,9
1123,-5.878431,-59.344536,9
1126,-7.217767,-56.159817,9
1128,-8.16743,-53.356544,9
1129,-3.0790591,-53.147057,9
1130,-5.404772,-50.045116,9
1131,-6.328936,-58.78656,9
1135,-1.3019305,-55.123165,9
1136,-6.090518,-59.422535,9
1139,-0.6270884,-55.42285,9
1140,-0.56713474,-54.916046,9
1142,-0.39782113,-55.31748,9
1144,-0.41589844,-54.982307,9
1145,-6.5483413,-58.925472,9
1150,-5.3632374,-53.18712,9
1155,-4.398736,-50.641144,9
1169,-8.552956,-55.81825,9
1170,-4.6283026,-53.304176,9
1171,-5.7498007,-52.357315,9
1173,-3.1059523,-52.849617,9
1182,-5.5390983,-59.193462,9
1184,-3.848407,-49.17992,9
1185,-7.9117556,-56.82569,9
1187,-2.9393568,-50.14258,9
1189,-3.4054852,-57.796185,9
1193,-7.8150744,-56.58304,9
1194,-8.713827,-54.995613,9
1196,-2.2800586,-50.591976,9
1198,-8.302382,-53.853363,9
1203,-7.8473206,-54.115063,9
1205,-1.9334431,-52.691414,9
1206,-2.3526149,-53.07881,9
1207,-5.3464475,-51.136177,9
1211,-15.43533,-51.018932,9
1212,-1.0275577,-44.19401,9
1216,1.968411,-49.12758,9
1221,10.716757,-65.65588,9
1222,-15.382707,-51.267464,9
1226,2.562843,-48.794987,9
1227,2.759047,-48.56839,9
1228,10.802673,-64.23273,9
1229,5.5765944,-54.385494,9
1231,5.3299265,-52.281734,9
1245,-4.4952245,-50.152283,9
1257,-15.556263,-64.45503,9
1259,-13.976677,-68.06448,9
1268,-9.483025,-41.13699,9
1269,1.9713169,-66.79711,9
1270,-19.84937,-53.697258,9
1273,3.222016,-59.937866,9
1278,-8.478327,-44.578213,9
1286,-15.830097,-59.938213,9
1288,-10.46094,-64.89508,9
1299,-12.731388,-53.04077,9
1303,-10.580781,-57.3127,9
1305,-7.140195,-69.01007,9
1307,-7.2184315,-68.544525,9
1316,-18.942358,-54.112926,9
1329,2.5398164,-67.17043,9
1351,-9.647794,-51.103416,9
1352,-17.353472,-53.837383,9
1355,4.7977214,-66.460884,9
1356,0.86613643,-66.756355,9
1360,-17.108389,-55.966003,9
1370,3.775051,74.5902,4
1376,-6.607409,68.32028,4
1390,2.2381546,75.9736,4
1397,3.2585833,73.244865,4
1398,5.453008,72.6099,4
1400,3.7419832,70.42393,4
1401,3.344385,69.840614,4
1406,7.27581,73.20782,4
1409,-1.2314208,61.746967,4
1412,-10.29369,71.35833,4
1413,-12.964325,72.6462,4
1418,2.3041375,63.13574,4
1422,1.8301046,64.44545,4
1428,1.9929565,62.979256,4
1429,-5.9833508,64.86755,4
1430,5.025545,61.778854,4
1431,4.0226874,60.21175,4
1432,3.086287,66.95899,4
1433,5.0535564,71.76677,4
1436,6.3603296,67.37205,4
1439,1.5831751,60.337315,4
1440,-2.780453,66.96368,4
1441,-1.4081537,68.06627,4
1444,-11.712624,-67.734146,9
1471,5.555918,60.357494,4
1472,2.627147,66.266396,4
1480,2.2733755,66.26521,4
1490,3.173408,72.78057,4
1499,0.14729902,68.56918,4
1516,-12.21963,72.67071,4
1519,6.793732,66.193474,4
1521,0.073660634,76.01775,4
1522,2.5319662,79.39193,4
1526,-7.35452,77.390305,4
1528,-2.9871602,79.507416,4
1533,-6.738418,79.97542,4
1534,0.305257,79.995995,4
1539,-6.5710025,79.75879,4
1572,-59.292953,-32.800053,2
1597,-5.513162,78.53734,4
1600,1.1016579,58.744957,4
1643,3.751409,-55.864784,9
1672,5.7239146,60.4882,4
1673,7.241861,67.102516,4
1675,-4.733898,70.008514,4
1679,5.6371393,65.15929,4
1681,4.869073,67.713646,4
1682,5.813071,71.07388,4
1686,7.408374,68.14336,4
1698,7.4580255,67.9995,4
1699,2.8881187,73.82192,4
1702,1.2331258,62.635773,4
1704,-0.20573595,67.63723,4
1706,4.440779,71.13257,4
1707,-1.3609349,69.602806,4
1708,3.3915832,69.65556,4
1709,6.4039435,74.661194,4
